0:00 - Alexander Hamilton
0:49 - Alexander Hamilton > Hurricane
4:43:32 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied
4:43:35 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied > Helpless
4:47:44 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied
4:47:47 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied > Helpless
4:51:57 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied
4:54:36 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet
4:55:16 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane
4:55:16 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton
4:58:23 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir
5:00:39 - The Story of Tonight > The Story of Tonight (Reprise)
5:01:49 - The Story of Tonight
5:02:14 - The Story of Tonight > The Story of Tonight (Reprise)
5:03:00 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir
5:03:19 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton
5:04:08 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane
5:06:04 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
5:09:18 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane
5:09:18 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
5:12:32 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane
5:12:32 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
5:15:46 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane
5:15:47 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
5:19:01 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane
5:19:01 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
5:22:15 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane
5:22:15 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
5:25:29 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane
5:25:33 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
5:28:47 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane
5:28:47 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
5:32:00 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane
5:32:00 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > History Has Its Eyes on You
5:33:01 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > History Has Its Eyes on You > Who Lives, Who Dies, Who Tells Your Story
5:36:38 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > History Has Its Eyes on You
5:37:10 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane
5:37:10 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
5:40:24 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane
5:40:35 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
5:43:49 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane
5:43:49 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
5:47:02 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane
5:47:02 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
5:50:16 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane
5:50:17 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet
5:51:43 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied
5:52:33 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied > Helpless
5:56:43 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied
